route,dest
"0,1,7,7,1,28,7,1,13,16",rs1590
"0,1,28,7,2,7,28,27",rs369
"0,1,4,4,4,1,13,28,4,19",rs1603
"0,1,4,4,1,28,24",rs129
"0,1,7,7,10,7,28,21",rs983
"0,1,28,7,2,13,28,1,17",rs1439
"0,1,28,7,2,7,28,13,25",rs1507
"0,1,13,7,28,7,1,7,28,16",rs1572
"0,1,28,7,2,21",rs296
"0,1,4,4,1,28,4,2,10,20",rs802
"0,1,7,7,1,28,10,1,18",rs944
"0,1,7,7,7,1,10,7,19",rs1035
"0,1,7,7,7,1,13,24",rs1542
"0,1,13,4,28,4,1,4,28,1,19",rs1369
"0,1,7,7,1,28,7,1,10,7,18",rs1088
"0,1,4,4,1,28,13,21",rs1245
"0,1,4,1,25",oss-scratch5
"0,1,10,7,28,7,1,7,28,20",rs1000
"0,1,7,7,28,7,1,8,28,1,17",rs503
"0,1,13,7,28,7,1,7,21",rs1569
"0,1,1,28,10,1,19",rs585
"0,1,7,7,28,7,1,8,28,1,24",rs508
"0,1,4,4,1,28,4,2,10,18",rs800
"0,1,7,7,13,7,28,7,19",rs1629
"0,1,1,28,7,1,28,24",rs314
"0,1,4,4,4,1,10,28,17",rs737
"0,1,7,7,28,7,1,8,28,18",rs494
"0,1,28,7,2,7,28,10,19",rs927
"0,1,28,7,2,7,28,7,27",rs432
"0,1,7,7,7,1,13,28,16",rs1528
"0,1,4,4,1,28,13,1,26",rs1310
"0,1,28,7,2,10,28,1,18",rs864
"0,1,7,7,7,1,10,7,24",rs1038
"0,1,7,7,10,7,19",rs973
"0,1,4,4,4,1,10,27",rs753
"0,1,13,4,28,4,1,4,28,4",d6-nem3-b
"0,1,10,7,28,7,1,7,28,18",rs998
"0,1,4,4,1,28,4,1,10,19",rs801
"0,1,1,28,13,1,28,16",rs1150
"0,1,28,4,1,11,28,19",rs639
"0,1,10,7,28,7,1,7,28,25",rs1003
"0,1,28,4,1,4,28,13,21",rs1289
"0,1,7,7,10,7,28,7,1,25",rs1067
"0,1,10,7,28,7,1,7,28,1,21",rs1011
"0,1,28,7,2,10,28,19",rs855
"0,1,28,7,2,13,17",rs1421
"0,1,28,7,2,13,20",rs1424
"0,1,13,24",rs1120
"0,1,28,7,2,7,28,13,19",rs1503
"0,1,7,7,13,7,20",rs1550
"0,1,28,4,1,13,28,17",rs1213
"0,1,4,4,1,28,13,1,17",rs1303
"0,1,28,4,1,4,28,10,27",rs717
"0,1,4,4,4,16",rs206
"0,1,13,7,28,7,1,7,28,19",rs1575
"0,1,7,1,13,7,26",rs1472
"0,1,7,7,1,28,13,19",rs1459
"0,1,28,7,2,7,28,10,18",rs926
"0,1,28,1,19",rs33
"0,1,7,7,1,28,7,1,10,7,20",rs1090
"0,1,28,7,2,13,16",rs1420
"0,1,7,7,1,28,13,17",rs1457
"0,1,13,4,28,4,1,4,18",rs1350
"0,1,28,13,16",rs1122
"0,1,7,1,10,17",rs817
"0,1,7,7,28,7,1,8,28,25",rs499
"0,1,28,7,2,7,28,13,26",rs1508
"0,1,10,4,28,4,1,4,28,4,20",rs1072
"0,1,28,10,1,28,7,1",a4-nem4-a
"0,1,28,7,2,7,28,10,25",rs931
"0,1,4,4,4,1,17",rs197
"0,1,7,7,7,1,10,28,19",rs955
"0,1,7,7,1,28,10,1,28,16",rs934
"0,1,13,7,28,7,1,7,24",rs1570
"0,1,28,4,1,4,28,13,26",rs1292
"0,1,13,1,24",rs1110
"0,1,7,1,13,17",rs1393
"0,1,4,4,4,1,10,28,4,16",rs1024
"0,1,7,7,7,1,13,26",rs1544
"0,1,1,28,4,1,10,17",rs655
"0,1,7,7,1,28,7,1,10,7,27",rs1095
"0,1,10,4,28,4,1,4,28,24",rs786
"0,1,13,7,28,7,1,7,28,21",rs1577
"0,1,28,4,1,11,18",rs630
"0,1,7,7,13,7,28,7,24",rs1632
"0,1,28,4,1,4,28,4,21",rs237
"0,1,7,7,28,7,1,8,28,17",rs493
"0,1,1,28,4,1,10,21",rs659
"0,1,10,7,28,7,1,7,16",rs988
"0,1,28,1,28,1,18",rs49
"0,1,13,4,28,4,26",rs1274
"0,1,7,7,13,24",rs1480
"0,1,28,7,2,10,28,20",rs856
"0,1,4,4,4,1,10,28,4,24",rs1030
"0,1,28,7,2,7,28,13,27",rs1509
"0,1,7,7,1,28,13,1,21",rs1523
"0,1,28,7,2,10,25",rs851
"0,1,1,28,7,1,10,21",rs875
"0,1,1,28,13,1,20",rs1162
"0,1,7,7,7,1,10,7,18",rs1034
"0,1,1,28,7,1,10,7,28",b4-nem4-a
"0,1,28,13,1,17",rs1133
"0,1,7,7,7,1,10,17",rs961
"0,1,7,7,28,7,1,8,28,1,18",rs504
"0,1,28,1,28,7,19",rs302
"0,1,7,7,1,28,7,1,13,24",rs1596
"0,1,1,28,4,1,13,21",rs1235
"0,1,28,7,2,7,28,13,18",rs1502
"0,1,7,7,7,1,10,28,25",rs959
"0,1,4,4,1,28,4,1,10,18",rs800
"0,1,13,7,28,7,1,20",rs1496
"0,1,4,4,1,28,13,1,28,25",rs1301
"0,1,4,4,1,28,4,1,4,17",rs511
"0,1,4,4,1,28,4,1,28,18",rs244
"0,1,1,28,13,1,26",rs1166
"0,1,28,1,28,10,26",rs572
"0,1,7,7,7,1,13,7,20",rs1612
"0,1,7,7,1,28,7,1,10,18",rs1016
"0,1,28,4,1,11,24",rs634
"0,1,28,7,2,13,28,1,19",rs1441
"0,1,4,1,13,21",rs1181
"0,1,28,4,1,13,28,24",rs1218
"0,1,7,7,7,1,13,28,17",rs1529
"0,1,28,4,1,11,28,27",rs645
"0,1,10,7,28,7,1,21",rs921
"0,1,13,4,28,4,1,20",rs1280
"0,1,28,1,28,1,21",rs52
"0,1,7,7,13,7,21",rs1551
"0,1,28,4,1,4,28,4,17",rs233
"0,1,28,7,2,13,18",rs1422
"0,1,4,4,1,28,10,20",rs668
"0,1,28,7,2,10,28,16",rs852
"0,1,7,7,7,1,20",rs396
"0,1,7,1,13,7,25",rs1471
"0,1,28,7,2,13,24",rs1426
"0,1,7,7,1,28,10,1,27",rs951
"0,1,10,4,28,4,1,4,28,1,17",rs791
"0,1,28,4,1,13,25",rs1211
"0,1,13,7,28,21",rs1415
"0,1,7,7,1,28,7,1,10,7,28,17",rs1079
"0,1,4,4,4,1,10,28,4,21",rs1029
"0,1,4,4,1,28,10,1,16",rs726
"0,1,7,7,1,28,7,1,13,18",rs1592
"0,1,1,28,4,1,28,24",rs116
"0,1,7,7,7,1,24",rs398
"0,1,7,7,7,1,13,28,25",rs1535
"0,1,4,4,1,28,4,2,21",rs255
"0,1,4,4,1,28,13,1,16",rs1302
"0,1,7,7,28,7,1,17",rs417
"0,1,13,7,28,16",rs1410
"0,1,4,4,4,17",rs207
"0,1,28,4,1,4,28,13,27",rs1293
"0,1,10,4,28,4,1,4,28,21",rs785
"0,1,4,1,13,28,20",rs1172
"0,1,13,7,25",rs1409
"0,1,7,7,1,28,7,1,13,7,28,25",rs1661
"0,1,7,7,1,28,13,1,18",rs1520
"0,1,10,7,17",rs827
"0,1,4,4,13,4,4,25",rs1625
"0,1,4,4,1,28,4,1,10,20",rs802
"0,1,28,4,1,11,28,1,21",rs651
"0,1,28,4,1,4,28,13,19",rs1287
"0,1,7,7,7,1,13,25",rs1543
"0,1,4,4,1,28,10,17",rs665
"0,1,13,4,28,4,1,4,28,4,17",rs1645
"0,1,28,7,2,7,28,10,20",rs928
"0,1,7,7,1,28,7,1,13,7,24",rs1668
"0,1,28,7,2,13,28,18",rs1430
"0,1,1,28,10,1,25",rs589
"0,1,7,7,13,7,19",rs1549
"0,1,7,1,13,27",rs1401
"0,1,28,4,1,13,24",rs1210
"0,1,4,4,1,28,4,2,4,17",rs511
"0,1,28,7,2,13,28,20",rs1432
"0,1,7,1,13,28,18",rs1386
"0,1,7,7,13,7,28,7,17",rs1627
"0,1,1,28,13,1,18",rs1160
"0,1,1,28,7,1,27",rs324
"0,1,4,1,13,28,24",rs1174
"0,1,10,7,28,7,1,24",rs922
"0,1,1,28,7,1,7,21",rs379
"0,1,28,10,1,17",rs557
"0,1,28,4,1,13,28,1,24",rs1228
"0,1,28,7,2,10,28,21",rs857
"0,1,4,4,4,1,10,28,4,19",rs1027
"0,1,28,1,20",rs34
"0,1,13,7,28,26",rs1418
"0,1,7,7,28,7,1,16",rs416
"0,1,7,7,10,7,28,7,1,16",rs1060
"0,1,7,7,1,28,7,1,13,7,17",rs1663
"0,1,28,4,1,4,28,1,18",rs172
"0,1,7,7,28,7,1,8,28,1,21",rs507
"0,1,7,7,1,28,10,1,28,18",rs936
"0,1,7,7,28,7,1,8,28,19",rs495
"0,1,13,1,19",rs1107
"0,1,7,7,7,24",rs407
"0,1,28,7,2,7,28,1,19",rs372
"0,1,4,4,1,28,4,2,4,20",rs514
"0,1,4,4,28,4,1,21",rs229
"0,1,28,4,1,13,28,21",rs1217
"0,1,28,1,28,17",rs39
"0,1,7,7,10,7,28,7",d4-nem2-b
"0,1,7,7,28,7,1,8,21",rs489
"0,1,7,7,1,28,7,1,10,7,28,21",rs1083
"0,1,4,4,1,28,10,1,25",rs733
"0,1,1,28,7,1,10,27",rs879
"0,1,4,4,1,28,4,2,27",rs259
"0,1,1,28,7,1,28,18",rs310
"0,1,28,4,1,11,17",rs629
"0,1,7,7,1,28,7,1,10,7,17",rs1087
"0,1,7,7,1,28,10,1,20",rs946
"0,1,7,7,28,7,1,20",rs420
"0,1,4,1,13,28,17",rs1169
"0,1,1,28,10,1,28,25",rs581
"0,1,28,4,1,13,21",rs1209
"0,1,7,7,1,28,13,21",rs1461
"0,1,7,7,7,1,13,28,21",rs1533
"0,1,4,4,1,28,4,1,4,26",rs518
"0,1,1,28,4,1,10,20",rs658
"0,1,4,4,1,28,4,1,28,24",rs248
"0,1,7,7,1,28,7,7,21",rs453
"0,1,28,7,2,10",a4-nem3-a
"0,1,7,7,1,28,13,16",rs1456
"0,1,10,7,28,7,1,7,19",rs991
"0,1,28,1,28,4,24",rs109
"0,1,1,28,7,1,13,24",rs1452
"0,1,7,7,7,1,13,28,20",rs1532
"0,1,4,4,13,4,4,19",rs1621
"0,1,4,4,1,28,13,20",rs1244
"0,1,7,1,13,28,19",rs1387
"0,1,13,4,28,4,1,4,21",rs1353
"0,1,4,4,4,1,13,28,4,21",rs1605
"0,1,7,7,1,28,7,1,13,7,25",rs1669
"0,1,28,7,2,13,28,17",rs1429
"0,1,1,28,7,1,28,25",rs315
"0,1,7,7,1,28,7,1,10,7,28,20",rs1082
"0,1,10,7,28,7,1,7,28,17",rs997
"0,1,28,4,1,4,28,13,20",rs1288
"0,1,13,7,20",rs1406
"0,1,13,4,28,4,1,4,28,24",rs1362
"0,1,13,4,28,4,1,4,28,4,16",rs1644
"0,1,7,7,10,7,17",rs971
"0,1,28,7,2,13,28,1,25",rs1445
"0,1,4,4,10,20",rs686
"0,1,28,1,28,16",rs38
"0,1,4,4,28,4,4,18",rs476
"0,1,7,7,1,28,7,1,13,7,28,24",rs1660
"0,1,10,7,16",rs826
"0,1,1,28,4,1,4,16",rs178
"0,1,28,7,2,7,28,10,27",rs933
"0,1,1,28,7,1,16",rs316
"0,1,13,4,28,4,1,4,25",rs1355
"0,1,7,7,7,1,10,7,16",rs1032
"0,1,4,25",rs88
"0,1,1,28,7,1,26",rs323
"0,1,10,7,28,7,1,7,21",rs993
"0,1,7,7,1,28,10,1,28,21",rs939
"0,1,28,10,1,25",rs563
"0,1,28,7,2,13,28,21",rs1433
"0,1,28,13,1,24",rs1138
"0,1,10,7,1,28,7,1",b4-nem4-b
"0,1,1,28,7,1,13,17",rs1447
"0,1,7,7,1,28,13,1,19",rs1521
"0,1,7,7,28,7,1,8,20",rs488
"0,1,4,4,10,4,4,21",rs1047
"0,1,28,10,16",rs546
"0,1,13,7,28,7,1,17",rs1493
"0,1,7,7,13,7,28,7,1,16",rs1636
"0,1,4,4,4,1,10,28,4,17",rs1025
"0,1,7,7,1,28,7,1,28,20",rs437
"0,1,7,7,13,18",rs1476
"0,1,28,7,2,7,28,7,17",rs425
"0,1,7,7,7,1,10,28,20",rs956
"0,1,4,4,1,28,4,1,13,20",rs1378
"0,1,1,28,7,1,13,21",rs1451
"0,1,4,4,1,28,4,1,10,27",rs807
"0,1,4,4,1,28,13,16",rs1240
"0,1,10,4,28,4,1,4,28,4,27",rs1077
"0,1,13,7,28,7,1,7,28,18",rs1574
"0,1,7,1,13,18",rs1394
"0,1,7,7,10,7,20",rs974
"0,1,28,7,2,10,24",rs850
"0,1,7,7,1,28,13,18",rs1458
"0,1,28,7,2,7,28,7,18",rs426
"0,1,28,13,26",rs1130
"0,1,7,7,1,28,13,20",rs1460
"0,1,7,7,28,7,21",rs412
"0,1,4,4,4,1,13,28,4,16",rs1600
"0,1,7,7,1,28,13,1,27",rs1527
"0,1,7,1,13,21",rs1397
"0,1,28,7,2,7,28,7,24",rs430
"0,1,7,7,28,7,1,8,19",rs487
"0,1,1,28,7,1,17",rs317
"0,1,28,4,1,13,28,25",rs1219
"0,1,7,7,1,28,16",rs325
"0,1,28,4,1,4,28,4,20",rs236
"0,1,1,28,7,1,28,20",rs312
"0,1,1,28,4,1,21",rs121
"0,1,28,7,2,10,28,1,19",rs865
"0,1,7,1,10,7,20",rs892
"0,1,28,13,1,25",rs1139
"0,1,1,28,7,1,28,19",rs311
"0,1,7,7,13,7,28,7,1,17",rs1637
"0,1,28,7,2,7,28,10,24",rs930
"0,1,13,7,28,7,1,7,16",rs1564
"0,1,7,7,7,19",rs404
"0,1,28,7,2,17",rs292
"0,1,1,28,13,17",rs1097
"0,1,10,7,28,7,1,7,28,1,19",rs1009
"0,1,1,28,4,1,10,27",rs663
"0,1,7,7,28,17",rs345
"0,1,4,4,1,28,4,1,28,19",rs245
"0,1,1,28,13,1,28,25",rs1157
"0,1,1,28,19",rs3
"0,1,7,1,10,7,24",rs894
"0,1,4,4,1,28,4,1,19",rs253
"0,1,7,7,1,28,7,1,10,24",rs1020
"0,1,28,7,18",rs285
"0,1,7,7,1,28,7,1,13,7,28,20",rs1658
"0,1,4,4,1,28,4,1,13,27",rs1383
"0,1,28,7,2,7,17",rs355
"0,1,13,7,28,7,1,21",rs1497
"0,1,10,7,28,7,1,7,28,26",rs1004
"0,1,4,4,13,4,16",rs1330
"0,1,7,7,1,28,10,1,21",rs947
"0,1,7,7,28,7,1,8,18",rs486
"0,1,1,28,1,26",rs62
"0,1,10,7,28,7,1,7,28,27",rs1005
"0,1,7,1,10,7,26",rs896
"0,1,10,4,28,4,1,17",rs701
"0,1,7,7,1,28,7,1,16",rs441
"0,1,4,4,1,28,4,1,4,20",rs514
"0,1,10,7,28,7,1,7,28,24",rs1002
"0,1,13,4,28,4,1,4,28,26",rs1364
"0,1,7,7,28,18",rs346
"0,1,28,4,1,4,28,4,26",rs240
"0,1,28,7,2,7,28,1,21",oss-scratch20
"0,1,4,4,1,28,10,1,28,4,19",rs793
"0,1,7,7,7,1,26",rs399
"0,1,7,7,28,7,26",rs414
"0,1,1,28,7,1,28,21",rs313
"0,1,28,7,2,10,19",rs847
"0,1,7,7,7,1,10,7,25",rs1039
"0,1,10,4,28,25",rs715
"0,1,10,4,28,24",rs714
"0,1,1,28,4,1,28,18",rs126
"0,1,1,28,10,1,10,16",rs1158
"0,1,7,7,7,18",rs403
"0,1,28,4,1,28,4,32",c1-nem3-a
"0,1,28,4,1,7",a1-nem3-a
"0,1,7,1,10,7,16",rs888
"0,1,13,4,28,4,1,13,28,20",rs712
"0,1,28,4,1,13,4,4,10",d1-nem3-a
"0,1,1,5,4,28,10,1,13",c1-nem4-b
"0,1,13,7,28,13,16",rs834
"0,1,1,28,13,24",rs1102
"0,1,4,4,28,10,1,4",d3-nem3-a
"0,1,13,13,7,1,16",rs816
"0,1,28,13,1,13,19",rs559
"0,1,7,7,1,28,13,1,28,25",rs1517
"0,1,4,4,1,28,13,1,19",rs1305
"0,1,10,4,14",b1-nem2-a
"0,1,28,4,1,28,4,36",c1-nem3-a
"0,1,13,4,28,4,1,4,28,4,18",rs1646
"0,1,28,7,1,10,28,25",rs859
"0,1,1,5,4,28,1",c1-nem4-b
"0,1,13,7,28,13,1,25",rs851
"0,1,13,13,7,20",rs830
"0,1,1,28,13,1,28,11",a1-nem4-a
"0,1,13,7,28,7,1,7,28,13,21",rs1001
"0,1,1,28,4,1,4,18",rs180
"0,1,7,7,7,1,10,28,10,1,28",c6-nem4-a
"0,1,7,7,13,7,17",rs1547
"0,1,7,7,13,7,13,7,28,20",rs1054
"0,1,28,10,1,10,28,24",rs1146
"0,1,13,4,28,4,1,10",c1-nem3-a
"0,1,1,28,4,1,6",c1-nem4-b
"0,1,7,7,13,7,28,7,27",rs1635
"0,1,13,4,10",b1-nem2-a
"0,1,28,4,1,13,4,4,12",d1-nem3-a
"0,1,28,7,1,13,25",rs1427
"0,1,28,7,2,5",a1-nem3-a
"0,1,7,1,10,24",rs822
"0,1,4,4,10,4,10,21",rs1335
"0,1,4,4,1,28,6",d1-nem1-a
"0,1,4,1,13,28,13,1,25",rs661
"0,1,1,5,4,28,4,1,7",c1-nem4-b
"0,1,4,1,13,28,13,19",rs595
"0,1,28,4,4,1,28,1,29",c1-nem4-b
"0,1,28,7,1,7,17",rs355
"0,1,28,4,36",b1-nem2-a
"0,1,28,4,1,13,28,13,25",rs643
"0,1,28,7,1,13,28,17",rs1429
"0,1,13,7,28,7,1,7,28,25",rs1579
"0,1,4,4,4,1,10,28,13",d1-nem1-a
"0,1,1,28,7,1,13,27",rs1455
"0,1,28,4,1,4",c1-nem3-a
"0,1,1,28,13,1,11",a1-nem4-b
"0,1,7,7,13,7,28,19",rs1557
"0,1,28,4,4,1,28,4,30",d1-nem3-a
"0,1,13,13,7,7,28,7,27",rs987
"0,1,28,7,1,7,28,7,17",rs425
"0,1,28,13,1,18",rs1134
"0,1,4,4,28,3",c1-nem3-a
"0,1,1,28,4,1,4,4,3",d1-nem1-a
"0,1,28,10,1,10,28,16",rs1140
"0,1,4,1,10,28,10,1,17",rs1231
"0,1,28,4,4,4,3",d1-nem3-a
"0,1,13,13,1,28,21",rs525
"0,1,28,4,4,1,28,1,33",c1-nem4-b
"0,1,28,10,1,10,28,1,17",rs1151
"0,1,4,1,13,4",c5-nem1-b
"0,1,13,4,28,4,1,13,19",rs703
"0,1,4,4,1,28,4,1,17",rs251
"0,1,13,4,28,4,1,4,28,13,21",rs785
"0,1,28,4,29",b1-nem2-a
"0,1,7,7,10,7,28,19",rs981
"0,1,1,5,1",b1-nem2-a
"0,1,10,10,4,4,28,4,1,21",rs1353
"0,1,7,7,1,28,7,7,8",d1-nem1-a
"0,1,28,4,1,13,28,13,18",rs638
"0,1,10,4,28,4,1,4,28,11,25",rs1363
"0,1,28,13,1,28,10,36",a1-nem3-a
"0,1,28,4,28",b1-nem2-a
"0,1,13,1,17",rs1105
"0,1,13,4,28,4,1,13,28,1,20",rs722
"0,1,4,1,13,4,13,26",rs680
"0,1,4,4,4,1,10,28,10,24",rs1318
"0,1,4,4,4,1,36",d1-nem1-a
"0,1,13,4,25",rs1193
"0,1,1,28,4,1,13,25",rs1237
"0,1,10,4,24",rs616
"0,1,7,1,13,28,13,1,19",rs873
"0,1,13,13,4,4,3,4",d3-nem1-b
"0,1,10,10,4,20",rs1190
"0,1,7,1,13,7,13,25",rs895
"0,1,28,13,1,28,10,33",a1-nem3-a
"0,1,7,7,13,7,28,7,1,25",rs1643
"0,1,28,4,1,10,28,10,17",rs1213
"0,1,28,4,4,1,28,4,36",d1-nem3-a
"0,1,1,5,4,28,10,1,14",c1-nem4-b
"0,1,4,4,13,4,4",d6-nem2-a
"0,1,7,7,7,1,13,28,13,7,17",rs1025
"0,1,28,10,1,10,18",rs1134
"0,1,10,10,7,7,8,7",d6-nem2-a
"0,1,28,13,1,10",a1-nem3-a
"0,1,10,4,13",b1-nem2-a
"0,1,10,4,28,4,1,10,28,1,24",rs1300
"0,1,1,28,10,1,10,19",rs1161
"0,1,28,2",a1-nem3-a
"0,1,4,1,10,28,10,24",rs1174
"0,1,7,7,7,1,10,28,10,17",rs1529
"0,1,4,4,13,4,21",rs1335
"0,1,7,1,13,7,13,7,16",rs960
"0,1,7,7,7,16",rs401
"0,1,28,7,2,4",a1-nem3-a
"0,1,28,4,1,4,28,13,4",d5-nem3-b
"0,1,1,28,10,1,28,14",a1-nem4-a
"0,1,4,4,13,4,4,17",rs1619
"0,1,7,7,28,7,1,7,20",rs488
"0,1,4,4,13,4,13,19",rs757
"0,1,28,13,4,4,1,4",d5-nem3-a
"0,1,10,10,7,7,28,18",rs1484
"0,1,28,4,1,10,28,10,25",rs1219
"0,1,13,7,28,7,26",rs1490
"0,1,7,7,1,28,13,1,28,16",rs1510
"0,1,7,1,10,25",rs823
"0,1,1,28,10,1,13",a1-nem4-b
"0,1,4,4,1,28,13,1,13,25",rs733
"0,1,28,10,1,14",a1-nem3-a
"0,1,10,10,17",rs1115
"0,1,7,7,13,7,28,18",rs1556
"0,1,4,4,28,4,1,7",c1-nem3-a
"0,1,10,10,4,4,28,4,17",rs1339
"0,1,13,13,4,4,28,4,1,19",rs775
"0,1,1,28,7,1,5",a1-nem4-b
"0,1,10,10,1,28,21",rs1101
"0,1,28,7,1,7,28,20",rs364
"0,1,28,13,1,13,28,1,24",rs580
"0,1,7,7,1,28,7,7,7",d1-nem1-a
"0,1,1,28,13,1,12",a1-nem4-b
"0,1,28,4,1,13,28,13,24",rs642
"0,1,28,4,4,28,7",b1-nem2-a
"0,1,10,4,28,4,1,13",c1-nem3-a
"0,1,10,10,4,4,16",rs1258
"0,1,28,4,4,1,28,1,30",c1-nem4-b
"0,1,28,13,1,28,10,35",a1-nem3-a
"0,1,4,4,1,28,5",d1-nem1-a
"0,1,28,4,4,4,2",d1-nem3-a
"0,1,4,4,1,28,16",admin3
"0,1,4,1,10,4,10,28,24",rs1246
"0,1,13,4,24",rs1192
"0,1,1,28,4,1,4,4,2",d1-nem1-a
"0,1,28,7,1,10,35",a4-nem3-b
"0,1,28,7,1,13,28,1,25",rs1445
"0,1,4,4,28,4,1,8",c1-nem3-a
"0,1,1,28,13,1,28,18",rs1152
"0,1,28,10,1,13",a1-nem3-a
"0,1,4,4,1,28,10,1,20",rs730
"0,1,28,13,1,13,28,1,19",rs577
"0,1,7,7,1,28,13,1,28,24",rs1516
"0,1,28,4,1,10,28,21",rs641
"0,1,4,4,4,1,13,28,13,3",d3-nem4-b
"0,1,4,4,13,4,13,21",rs759
"0,1,28,13,1,28,10,1",a1-nem4-a
"0,1,13,4,18",rs1188
"0,1,28,13,1,13,24",rs562
"0,1,7,7,10,7,10,7,28,20",rs1630
"0,1,28,4,4,1,28,4,31",d1-nem3-a
"0,1,4,4,1,28,13,1,13,17",rs727
"0,1,10,10,4,4,28,4,27",rs1347
"0,1,28,3",a1-nem3-a
"0,1,4,1,10,4,10,19",rs1251
"0,1,13,13,4,4,28,16",rs690
"0,1,28,4,4,1,28,4,35",d1-nem3-a
"0,1,28,4,32",b1-nem2-a
"0,1,4,4,4,4,13",d6-nem2-a
"0,1,4,4,4,1,28",d1-nem1-a
"0,1,1,5,4,28,13,1,11",c1-nem4-b
"0,1,1,28,10,1,15",a1-nem4-b
"0,1,28,4,33",b1-nem2-a
"0,1,5",b1-nem2-a
"0,1,28,13,1,28,10,34",a1-nem3-a
"0,1,4,1,13,4,19",rs1251
"0,1,1,5,4,28,3",c1-nem4-b
"0,1,10,10,7,7,28,7,16",rs1554
"0,1,28,4,4,1,28,1,34",c1-nem4-b
"0,1,7,7,13,7,13,7,25",rs1049
"0,1,1,28,10,1,28,13",a1-nem4-a
"0,1,28,7,1,7,16",rs354
"0,1,13,4,28,4,1,13,25",rs707
"0,1,1,5,4,28,4,1,9",c1-nem4-b
"0,1,28,13,1,13,25",rs563
"0,1,28,4,4,1,6",d1-nem3-a
"0,1,13,13,7,1,18",rs818
"0,1,13,4,28,4,1,13,16",rs700
"0,1,4,1,10,28,10,1,16",rs1230
"0,1,10,10,18",rs1116
"0,1,28,13,1,13,28,25",rs571
"0,1,4,4,1,28,13,1,13,6",d3-nem4-b
"0,1,7,7,1,28,10,20",rs884
"0,1,4,4,28,10,10",c5-nem2-b
"0,1,7,7,10,7,10,7,24",rs1624
"0,1,13,4,28,4,1,4,28,13,26",rs788
"0,1,7,1,10,19",rs819
"0,1,28,4,35",b1-nem2-a
"0,1,13,4,12",b1-nem2-a
"0,1,13,4,28,4,1,13,28,26",rs716
"0,1,7,7,7,1,13,28,13,7,20",rs1028
"0,1,13,13,7,1,21",rs821
"0,1,7,7,13,7,13,7,28,21",rs1055
"0,1,10,10,7,1,16",rs1392
"0,1,28,4,19",rs92
"0,1,4,4,4,1,13,28,12",d1-nem1-a
"0,1,4,4,4,1,13,28",d5-nem1-a
"0,1,7,7,10,7,28,16",rs978
"0,1,1,5,2",b1-nem2-a
"0,1,4,1,10,28,10,17",rs1169
"0,1,13,13,4,16",rs610
"0,1,4,4,1,16",mds-proj1
"0,1,4,4,28,1",c1-nem3-a
"0,1,28,4,4,28,8",b1-nem2-a
"0,1,7,7,7,1,13,28,13,7,18",rs1026
"0,1,7,1,10,28,10,1,28,16",rs1438
"0,1,13,13,1,28,17",rs521
"0,1,28,4,1,10,4,4,14",d1-nem3-a
"0,1,13,25",rs1121
"0,1,4,4,4,1,33",d1-nem1-a
"0,1,28,4,4,4,1",d1-nem3-a
"0,1,28,4,1,10,4,4,13",d1-nem3-a
"0,1,4,1,10,28,10,1,20",rs1234
"0,1,7,7,1,28,7,1,13,20",rs1594
"0,1,4,4,1,28,10,1,10,18",rs1304
"0,1,4,1,13,28,25",rs1175
"0,1,28,4,1,13,4,4,11",d1-nem3-a
"0,1,7,7,1,28,19",rs327
"0,1,4,1,13,4,25",rs1255
"0,1,13,4,28,4,1,17",rs1277
"0,1,7,7,1,28,7,1,13,7,27",rs1671
"0,1,7,7,1,26",rs337
"0,1,28,13,1,13,20",rs560
"0,1,28,4,4,1,28,1,31",c1-nem4-b
"0,1,1,28,7,16",rs260
"0,1,28,4,1,13,28,13,16",rs636
"0,1,10,10,4,4,28,17",rs1267
"0,1,4,4,13,4,13,24",rs760
"0,1,4,4,4,1,10,28,10,17",rs1313
"0,1,7,7,10,7,28,20",rs982
"0,1,1,28,7,1,6",a1-nem4-b
"0,1,4,4,4,1,13,21",rs1325
"0,1,1,28,1",a1-nem4-b
"0,1,4,1,13,28,13,1,28,18",rs648
"0,1,7,1,13,7,13,7,20",rs964
"0,1,28,4,4,1,28,1,28",c1-nem4-b
"0,1,1,5,4,28,2",c1-nem4-b
"0,1,1,5,4,28,4,1,8",c1-nem4-b
"0,1,4,4,4,1,13,28,11",d1-nem1-a
"0,1,1,28,13,1,28,12",a1-nem4-a
"0,1,28,13,1,28,10,31",a1-nem3-a
"0,1,28,7,1,13,28,13,25",rs859
"0,1,13,4,28,4,1,13,28,1,25",rs725
"0,1,10,10,7,7,28,7,21",rs1559
"0,1,4,4,4,1,13,28,24",rs1318
"0,1,4,4,4,1,10",d3-nem1-b
"0,1,1,28,10,1,10,17",rs1159
"0,1,10,4,15",b1-nem2-a
"0,1,28,13,1,13,28,1,25",rs581
"0,1,10,10,16",rs1114
"0,1,10,4,28,10,24",rs1200
"0,1,7,1,13,7,13,20",rs892
"0,1,28,7,1,13,18",rs1422
"0,1,13,7,28,7,1,13,16",rs916
"0,1,13,4,28,4,1,4,28,4,19",rs1647
"0,1,1,28,4,1,5",c1-nem4-b
"0,1,13,4,28,4,1,13,17",rs701
"0,1,28,4,4,1,28,4,32",d1-nem3-a
"0,1,13,4,28,4,1,11",c1-nem3-a
"0,1,7,1,13,7,13,19",rs891
